Wn	Wp	Vout	Vin
1.8	3.7	8.999349e-01	8.430000e-01
1.8	4.45	9.003916e-01	8.690000e-01
1.85	1.1	9.004143e-01	6.920000e-01
1.85	1.25	8.999338e-01	7.050000e-01
1.85	2.25	9.001245e-01	7.730000e-01
1.85	2.75	9.009176e-01	7.990000e-01
1.85	4.25	8.992125e-01	8.590000e-01
1.85	5	9.006316e-01	8.820000e-01
1.9	1.15	8.995535e-01	6.940000e-01
1.9	1.85	8.996109e-01	7.460000e-01
1.9	3.15	8.999855e-01	8.140000e-01
1.9	3.75	8.994709e-01	8.380000e-01
1.9	4	8.997968e-01	8.470000e-01
1.9	4.45	9.001843e-01	8.620000e-01
1.95	1.25	8.993232e-01	7.000000e-01
1.95	1.3	9.001848e-01	7.040000e-01
1.95	1.35	8.991781e-01	7.080000e-01
1.95	2.8	9.009557e-01	7.950000e-01
1.95	2.95	8.994369e-01	8.020000e-01
1.95	3.25	9.001424e-01	8.150000e-01
1.95	3.6	9.002398e-01	8.290000e-01
1.95	4.4	9.008761e-01	8.570000e-01
2	1.75	8.994261e-01	7.340000e-01
2	2.25	9.006395e-01	7.640000e-01
2	2.8	8.997465e-01	7.920000e-01
2	3.35	8.992746e-01	8.160000e-01
2	3.4	8.996016e-01	8.180000e-01
2	3.45	8.994466e-01	8.200000e-01
2	4.6	9.006457e-01	8.600000e-01
2	4.9	8.995746e-01	8.690000e-01
2.05	1.15	8.999739e-01	6.870000e-01
2.05	2.8	9.001815e-01	7.890000e-01
2.05	4.05	8.992434e-01	8.390000e-01
2.05	4.2	9.007546e-01	8.440000e-01
2.05	4.35	8.990956e-01	8.490000e-01
2.1	1.2	8.990289e-01	6.890000e-01
2.1	1.25	8.998069e-01	6.930000e-01
2.1	1.8	9.005125e-01	7.320000e-01
2.1	2.45	9.009126e-01	7.690000e-01
2.1	2.65	9.001232e-01	7.790000e-01
2.1	4.45	9.004367e-01	8.490000e-01
2.1	4.95	9.007413e-01	8.640000e-01
2.15	1.55	9.002399e-01	7.130000e-01
2.15	2.75	8.993952e-01	7.810000e-01
2.15	4.45	8.994021e-01	8.460000e-01
2.15	4.95	8.991191e-01	8.610000e-01
2.2	1.75	8.992841e-01	7.240000e-01
2.2	2.1	8.990366e-01	7.450000e-01
2.2	3.2	8.997703e-01	7.980000e-01
2.2	3.25	9.009093e-01	8.000000e-01
2.2	3.45	9.006808e-01	8.080000e-01
2.2	3.5	8.994739e-01	8.100000e-01
2.2	4.45	8.998033e-01	8.430000e-01
2.25	1.5	9.005766e-01	7.050000e-01
2.25	2.2	9.000589e-01	7.480000e-01
2.25	2.35	8.993987e-01	7.560000e-01
2.25	2.55	9.009668e-01	7.660000e-01
2.25	3.6	8.992407e-01	8.110000e-01
2.25	4.05	9.005667e-01	8.270000e-01
2.25	4.2	9.009625e-01	8.320000e-01
2.25	4.95	9.000969e-01	8.550000e-01
2.3	1	9.000830e-01	6.640000e-01
2.3	1.65	8.992973e-01	7.130000e-01
2.3	2.4	9.008404e-01	7.560000e-01
2.3	2.75	8.995383e-01	7.730000e-01
2.3	2.95	8.990427e-01	7.820000e-01
2.35	1.7	9.002692e-01	7.140000e-01
2.35	2.55	9.004866e-01	7.610000e-01
2.35	2.85	8.993927e-01	7.750000e-01
2.35	3.3	8.991320e-01	7.940000e-01
2.35	3.75	9.002455e-01	8.110000e-01
2.35	4.5	9.001032e-01	8.360000e-01
2.35	4.8	9.000497e-01	8.450000e-01
2.4	1.75	9.003216e-01	7.150000e-01
2.4	1.95	8.998003e-01	7.270000e-01
2.4	2.6	8.999512e-01	7.610000e-01
2.4	2.75	8.995553e-01	7.680000e-01
2.4	3	9.002615e-01	7.790000e-01
2.4	3.55	9.005506e-01	8.010000e-01
2.4	4.3	9.000821e-01	8.270000e-01
2.4	5	8.994005e-01	8.480000e-01
2.45	1.05	8.998362e-01	6.630000e-01
2.45	1.8	8.995142e-01	7.160000e-01
2.45	1.85	8.994897e-01	7.190000e-01
2.45	2.65	8.994347e-01	7.610000e-01
2.45	2.85	9.008992e-01	7.700000e-01
2.45	3.7	8.996634e-01	8.040000e-01
2.45	4.85	9.003518e-01	8.410000e-01
2.5	1.4	8.994215e-01	6.880000e-01
2.5	2.25	9.005877e-01	7.390000e-01
2.5	2.95	9.002818e-01	7.720000e-01
2.5	3.55	8.994054e-01	7.960000e-01
2.5	3.8	9.004841e-01	8.050000e-01
2.5	4.5	9.002521e-01	8.280000e-01
2.5	4.6	9.009110e-01	8.310000e-01
2.5	4.7	9.004511e-01	8.340000e-01
2.55	1.3	9.001927e-01	6.790000e-01
2.55	1.5	8.992390e-01	6.930000e-01
2.55	2.35	8.990726e-01	7.420000e-01
2.55	2.6	9.009827e-01	7.540000e-01
2.55	3.1	8.991887e-01	7.760000e-01
2.55	3.15	9.000514e-01	7.780000e-01
2.55	3.2	9.004403e-01	7.800000e-01
2.55	3.25	9.003660e-01	7.820000e-01
2.55	3.3	8.998384e-01	7.840000e-01
2.55	3.7	8.999236e-01	7.990000e-01
2.55	3.9	9.004331e-01	8.060000e-01
2.55	4.2	9.006074e-01	8.160000e-01
2.55	4.55	8.996318e-01	8.270000e-01
2.55	4.65	8.995711e-01	8.300000e-01
2.55	5	9.009027e-01	8.400000e-01
2.6	1.05	9.008489e-01	6.580000e-01
2.6	1.15	9.004199e-01	6.660000e-01
2.6	1.75	8.990350e-01	7.070000e-01
2.6	3.6	8.994340e-01	7.930000e-01
2.6	4	8.995634e-01	8.070000e-01
2.6	4.5	8.992868e-01	8.230000e-01
2.6	4.6	8.996225e-01	8.260000e-01
2.65	1.45	8.999975e-01	6.860000e-01
2.65	1.7	9.005811e-01	7.020000e-01
2.65	1.8	9.006324e-01	7.080000e-01
2.65	1.85	8.990899e-01	7.110000e-01
2.65	2.5	8.999695e-01	7.450000e-01
2.65	2.65	8.996535e-01	7.520000e-01
2.65	2.9	9.005359e-01	7.630000e-01
2.65	3.75	8.999243e-01	7.960000e-01
2.65	4.45	8.998418e-01	8.190000e-01
2.65	4.55	9.005708e-01	8.220000e-01
2.65	4.65	9.001966e-01	8.250000e-01
2.65	5	9.005634e-01	8.350000e-01
2.7	1.6	9.002215e-01	6.940000e-01
2.7	2.95	8.993819e-01	7.630000e-01
2.7	3.35	9.003350e-01	7.790000e-01
2.7	4.3	8.990011e-01	8.120000e-01
2.7	4.8	8.992126e-01	8.270000e-01
2.75	1.2	9.005067e-01	6.650000e-01
2.75	2.1	8.992763e-01	7.210000e-01
2.75	2.7	9.006411e-01	7.500000e-01
2.75	3.05	8.993551e-01	7.650000e-01
2.75	3.1	8.999672e-01	7.670000e-01
2.75	3.15	9.001130e-01	7.690000e-01
2.75	3.2	8.998032e-01	7.710000e-01
2.75	3.25	8.990478e-01	7.730000e-01
2.75	4.25	9.008653e-01	8.080000e-01
2.75	4.85	9.002250e-01	8.260000e-01
2.8	1.05	8.994915e-01	6.520000e-01
2.8	1.95	9.003885e-01	7.110000e-01
2.8	2.7	8.998757e-01	7.480000e-01
2.8	3.95	9.003819e-01	7.960000e-01
2.8	4.1	8.992913e-01	8.010000e-01
2.8	4.45	8.991728e-01	8.120000e-01
2.8	4.55	8.993860e-01	8.150000e-01
2.85	1.2	8.996668e-01	6.620000e-01
2.85	1.4	9.001021e-01	6.760000e-01
2.85	1.7	8.990272e-01	6.950000e-01
2.85	2.7	8.999720e-01	7.460000e-01
2.85	3.75	9.002979e-01	7.870000e-01
2.85	4.2	8.990574e-01	8.020000e-01
2.85	4.8	8.996043e-01	8.200000e-01
2.9	1.1	9.007368e-01	6.530000e-01
2.9	1.5	8.994884e-01	6.810000e-01
2.9	2.15	9.003212e-01	7.180000e-01
2.9	2.5	9.006121e-01	7.350000e-01
2.9	2.7	9.009020e-01	7.440000e-01
2.9	3.5	9.001634e-01	7.760000e-01
2.9	3.9	8.998525e-01	7.900000e-01
2.9	4.05	8.990443e-01	7.950000e-01
2.9	4.4	8.995901e-01	8.060000e-01
2.9	4.5	8.999950e-01	8.090000e-01
2.9	4.6	8.993289e-01	8.120000e-01
2.95	1.9	9.005369e-01	7.030000e-01
2.95	3.5	8.990775e-01	7.740000e-01
2.95	4.15	9.007878e-01	7.960000e-01
2.95	4.85	8.991024e-01	8.170000e-01
3	1.15	9.004806e-01	6.540000e-01
3	1.55	9.002886e-01	6.810000e-01
3	1.7	9.009610e-01	6.900000e-01
3	2.1	8.990918e-01	7.120000e-01
3	2.2	9.002248e-01	7.170000e-01
3	2.45	9.006159e-01	7.290000e-01
3	3.7	9.003690e-01	7.790000e-01
3	4.75	8.994709e-01	8.120000e-01
3.05	1.4	8.995918e-01	6.700000e-01
3.05	1.85	8.998101e-01	6.970000e-01
3.05	2.6	9.008761e-01	7.340000e-01
3.05	3.5	8.992715e-01	7.700000e-01
3.05	3.7	9.003094e-01	7.770000e-01
3.05	4.25	9.004126e-01	7.950000e-01
3.05	4.65	8.999541e-01	8.070000e-01
3.1	1.55	9.003825e-01	6.780000e-01
3.1	1.65	9.005483e-01	6.840000e-01
3.1	2.55	9.008924e-01	7.300000e-01
3.1	2.85	8.994143e-01	7.430000e-01
3.1	2.9	9.006504e-01	7.450000e-01
3.1	3.1	9.008754e-01	7.530000e-01
3.1	3.15	8.998100e-01	7.550000e-01
3.1	3.5	9.005026e-01	7.680000e-01
3.1	3.7	9.009998e-01	7.750000e-01
3.1	4.25	8.998528e-01	7.930000e-01
3.1	4.55	9.005241e-01	8.020000e-01
3.1	4.9	8.996004e-01	8.120000e-01
3.15	1.15	9.008679e-01	6.500000e-01
3.15	2.1	8.998546e-01	7.070000e-01
3.15	2.2	8.993739e-01	7.120000e-01
3.15	2.75	8.999407e-01	7.370000e-01
3.15	3.25	8.991094e-01	7.570000e-01
3.15	4.25	9.000241e-01	7.910000e-01
3.15	4.55	9.001376e-01	8.000000e-01
3.2	1.45	8.993557e-01	6.690000e-01
3.2	1.7	8.994903e-01	6.840000e-01
3.2	1.9	9.008177e-01	6.950000e-01
3.2	2.65	8.998764e-01	7.310000e-01
3.2	3.3	8.998790e-01	7.570000e-01
3.2	3.55	9.005969e-01	7.660000e-01
3.2	4.25	9.009042e-01	7.890000e-01
3.2	4.55	9.004611e-01	7.980000e-01
3.25	2.55	8.991225e-01	7.250000e-01
3.25	3.35	9.006258e-01	7.570000e-01
3.25	3.9	9.009149e-01	7.760000e-01
3.25	4.15	9.006654e-01	7.840000e-01
3.25	4.65	8.991090e-01	7.990000e-01
3.3	1.05	8.992332e-01	6.390000e-01
3.3	2.3	8.996384e-01	7.120000e-01
3.3	2.8	8.991632e-01	7.340000e-01
3.3	2.85	9.001443e-01	7.360000e-01
3.3	2.9	9.006433e-01	7.380000e-01
3.3	2.95	9.006736e-01	7.400000e-01
3.3	3	9.002473e-01	7.420000e-01
3.3	3.05	8.993760e-01	7.440000e-01
3.3	4.05	9.003773e-01	7.790000e-01
3.3	4.65	9.006218e-01	7.970000e-01
3.3	4.9	8.999936e-01	8.040000e-01
3.35	1	9.001228e-01	6.340000e-01
3.35	1.25	9.005504e-01	6.520000e-01
3.35	1.45	8.993528e-01	6.650000e-01
3.35	1.5	9.007776e-01	6.680000e-01
3.35	1.55	9.009352e-01	6.710000e-01
3.35	1.6	8.998969e-01	6.740000e-01
3.35	1.85	8.993540e-01	6.880000e-01
3.35	2.4	9.008595e-01	7.150000e-01
3.35	2.65	9.007387e-01	7.260000e-01
3.35	3.2	8.997392e-01	7.480000e-01
3.35	3.95	9.000062e-01	7.740000e-01
3.35	4.75	8.991318e-01	7.980000e-01
3.4	2.5	8.993278e-01	7.180000e-01
3.4	3.3	8.997865e-01	7.500000e-01
3.4	3.7	9.000558e-01	7.640000e-01
3.4	3.85	8.995172e-01	7.690000e-01
3.4	4.1	8.990868e-01	7.770000e-01
3.4	4.2	9.008362e-01	7.800000e-01
3.4	4.5	8.997050e-01	7.890000e-01
3.45	1.7	9.008087e-01	6.770000e-01
3.45	2.4	8.998868e-01	7.120000e-01
3.45	2.7	8.996338e-01	7.250000e-01
3.45	3	9.009249e-01	7.370000e-01
3.45	3.05	8.995488e-01	7.390000e-01
3.45	4	9.008607e-01	7.720000e-01
3.45	4.6	9.008042e-01	7.900000e-01
3.45	4.85	9.001281e-01	7.970000e-01
3.45	5	9.009905e-01	8.010000e-01
3.5	1.35	8.992046e-01	6.550000e-01
3.5	1.95	9.004920e-01	6.890000e-01
3.5	2.05	9.009765e-01	6.940000e-01
3.5	2.3	8.994405e-01	7.060000e-01
3.5	3.2	9.002706e-01	7.430000e-01
3.5	3.45	9.004078e-01	7.520000e-01
3.5	4.15	8.995408e-01	7.750000e-01
3.5	4.25	9.003414e-01	7.780000e-01
3.5	4.35	9.000893e-01	7.810000e-01
3.55	1.1	8.997736e-01	6.370000e-01
3.55	1.45	8.996250e-01	6.600000e-01
3.55	1.5	8.997341e-01	6.630000e-01
3.55	2.75	8.995314e-01	7.240000e-01
3.55	2.8	9.000896e-01	7.260000e-01
3.55	2.85	9.001703e-01	7.280000e-01
3.55	2.9	8.997870e-01	7.300000e-01
3.55	3.95	9.005643e-01	7.670000e-01
3.55	4.8	9.009681e-01	7.920000e-01
3.6	2.5	9.001206e-01	7.120000e-01
3.6	3.15	8.999657e-01	7.380000e-01
3.6	3.4	9.005406e-01	7.470000e-01
3.6	4.1	9.006944e-01	7.700000e-01
3.6	4.4	9.003679e-01	7.790000e-01
3.6	4.9	9.000975e-01	7.930000e-01
3.65	1.95	9.008481e-01	6.850000e-01
3.65	2.05	8.998378e-01	6.900000e-01
3.65	2.35	8.999919e-01	7.040000e-01
3.65	2.7	8.994724e-01	7.190000e-01
3.65	2.75	9.001606e-01	7.210000e-01
3.65	2.8	9.003641e-01	7.230000e-01
3.65	2.85	9.000970e-01	7.250000e-01
3.65	2.9	8.993723e-01	7.270000e-01
3.65	3.65	8.999567e-01	7.540000e-01
3.65	4.6	9.009411e-01	7.830000e-01
